datetime,duration, "task completed"
"22-07-2025, 11:00",1:56, 1
"22-07-2025, 11:10",2:19, 1
"22-07-2025, 11:16",0:52, 1
"22-07-2025, 11:28",2:54, 0
"22-07-2025, 11:33",1:16, 1
"22-07-2025, 11:37",0:45, 1
"22-07-2025, 14:45",1:50, 1
"22-07-2025, 14:50",1:42, 1
"22-07-2025, 14:56",2:33, 1
"24-07-2025, 12:40",1:26, 0
"24-07-2025, 12:47",2:44, 1
"24-07-2025, 12:51",1:12, 0
"24-07-2025, 13:54",2:21, 0
"24-07-2025, 13:58",1:11, 1
"24-07-2025, 14:02",1:07, 0
"25-07-2025, 14:25",2:08, 0
"25-07-2025, 14:41",2:38, 1
"25-07-2025, 14:45",1:12, 1
